COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
295;19 Mei 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI
Selamat dan Semangat Hari Senin!

Di balik setiap pengabdian para penjaga bangsa, ada semangat Insan ASABRI yang terus melayani sepenuh hati demi Indonesia.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
BUMN Untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DJ0Rpr_y-de/;;Approve Sesper;
296;20 Mei 2025;Selamat Hari Kebangkitan Nasional;Hari Besar Nasional;;;Realisasi;Instagram;Infografis;"Halo #SobatAsabri

Dari semangat masa lalu, kita bangun masa depan.
Saatnya bangkit, berdaya, dan berkarya demi Indonesia yang kuat dan maju.

Bangkit Bersama, Wujudkan Indonesia Kuat.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#HariKebangkitanNasional
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DJ2tg7QSqfN/;;Approve Sesper;
297;21 Mei 2025;"Hari Kebangkitan Nasional ke-117
Mewujudkan Indonesia yang Kuat";Campaign ASABRI;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Hari Kebangkitan Nasional ke-117
Mewujudkan Indonesia yang Kuat

ASABRI akan terus melangkah,
karena kami adalah Sahabat Perjuangan Anda Sepanjang Masa.
Bangkit Bersama, Bahu Membahu, Wujudkan Indonesia Kuat.

#HariKebangkitanNasional
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DJ6UW-eKbVS/;;Approve Sesper;
298;22 Mei 2025;Pengumuman tentang pembayaran gaji ke tiga belas pensiun tahun 2025;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Kabar Gembira untuk #SobatASABRI Semua

Pembayaran Gaji Ketiga Belas akan dilaksanakan mulai tanggal 2 Juni 2025. 
Untuk mengetahui ketentuan mengenai Pembayaran Gaji Ketiga Belas, silakan sobat cek informasi pada postingan berikut ini.

Gaji Ketiga Belas dibayarkan tanpa pengajuan dan tanpa verifikasi maupun pembaruan data ya Sobat.
Hati-hati dan tetap waspada terkait segala bentuk penipuan yang mengatasnamakan PT ASABRI (Persero). Jika menerima informasi yang meragukan dan mencurigakan, jangan ragu untuk hubungi contact center PT ASABRI (Persero) dan Kantor Cabang terdekat.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#GajiKetigaBelasuntukSobatASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DJ8Ni1_SKSG/;;Approve Sesper;
299;22 Mei 2025;Saat duka melanda, negara hadir untuk menguatkan.;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"?? Saat duka melanda, negara hadir untuk menguatkan.

ASABRI gerak cepat saat ledakan di Garut merenggut 4 prajurit terbaik.
Bukan hanya hak yang dipenuhi, tapi juga empati yang dihadirkan.

Karena perjuangan mereka adalah kehormatan bangsa, dan keluarganya adalah tanggung jawab kita semua.

???? ASABRI — Sahabat Perjuangan Sepanjang Masa.

#BUMNUntukIndonesia #ASABRI #PelindungPrajurit";https://www.instagram.com/p/DJ8yO59yui9/;;Approve Sesper;
300;23 Mei 2025;BERSERI: Program Jaminan Kecelakaan Kerja (JKK);Berseri;;;Realisasi;Instagram;Video;"Halo #SobatASABRI 
 
Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ?? 
 
Ingin tahu terkait Program Jaminan Kecelakaan Kerja? 
 
Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya… 
 
Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau mengunjungi Kantor Cabang ASABRI sesuai wilayah masing-masing ya Sobat… 
 
#BertanyaSeputarASABRI 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.instagram.com/p/DJ-iBe9Sp_l/;;Approve Sesper;
301;25 Mei 2025;Selamat Hari Ulang Tahun Direktur Keuangan dan MR PT ASABRI (Persero);Hari Penting;;;Realisasi;Instagram;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Direktur Keuangan dan Manajemen Risiko PT ASABRI (Persero) Helmi I. Satriyono.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKDkAP5sxdu/;;Approve Sesper;
302;26 Mei 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI
Selamat dan Semangat Hari Senin!

Mimpi bukan hanya sekadar menjadi angan, tapi harus dikejar dengan tekad dan semangat yang tak pernah padam.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
BUMN Untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKGXT8VSCZZ/;;Approve Sesper;
303;28 Mei 2025;SEKILAS: Program Jaminan Kecelakaan Kerja;Sekilas;;;Realisasi;Instagram;Video;"Halo #SobatASABRI, 

?Kali ini #SEKILAS informasi kembali hadir loh #SegmenEdukasidanKolaborasiInfluencerASABRI

Apakah #SobatASABRI tahu apa itu Manfaat Program JKK - Layanan Pengobatan dan Perawatan?
Yuk simak segmen #SEKILAS berikut ini!

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI www.asabri.co.id, Kanal Sosial Media ASABRI, Akun resmi contact center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

 
#LayananASABRIuntukIndonesia
#ManfaatProgramASABRluntukIndonesia
#ProgramJKKASABRI 
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIUntukIndonesia 
#BUMNUntukIndonesia";https://www.instagram.com/p/DKLrRRhvYzE/;;Approve Sesper;
304;28 Mei 2025;Pemberitahuan Layanan Kantor Cabang ASABRI TUTUP, sehubungan dengan Hari Libur Nasional dan Cuti Bersama ;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sehubungan dengan Hari Libur Nasional dan Cuti Bersama dalam rangka Hari Kenaikan Yesus Kristus, Layanan Kantor Cabang ASABRI TUTUP pada tanggal 29 dan 30 Mei 2025.

Layanan dan Operasional akan Buka Kembali pada tanggal 2 Juni 2025.

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKMT6s8PT43/;;Approve Sesper;
305;29 Mei 2025;Selamat Hari Kenaikan Yesus Kristus;Hari Besar Nasional;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Kenaikan-Nya bukan akhir, tapi awal dari harapan baru. 

Selamat memperingati Kenaikan Tuhan Yesus Kristus, 
mari hidup dalam kasih & kebenaran-Nya.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#HariKenaikanYesusKristus
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DKN2AMAJLwo/;;Approve Sesper;
306;01 Juni 2025;Selamat Hari Lahir Pancasila;Hari Besar Nasional;;;Realisasi;Instagram;Infografis;"Halo #SobatAsabri

Selamat Hari Lahir Pancasila.
Pancasila bukan hanya dasar negara, tapi juga jiwa bangsa. Mari terus menjaga dan mengamalkannya dalam kehidupan sehari-hari.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#HariLahir Pancasila
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKVo6CZS8iH/;;Approve Sesper;
307;01 Juni 2025;Ayo Autentifikasi dengan ASABRI STAR;Campaign ASABRI;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Penerima pensiun, yuk autentikasi setiap bulan tanggal 1–10 langsung dari HP Anda!
? Cukup buka aplikasi ASABRI STAR
? Autentikasi dengan mudah
? Gaji pensiun tetap lancar

Jangan tunggu lewat tanggal ya

#AsabriStar
#autentikasiasabri
#LayananKancabASABRIDenpasar
#KitaBerkualitasKitaHebat
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKVpU-1zBtn/;;Approve Sesper;
308;02 Juni 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI
Selamat dan Semangat Hari Senin!

Dengan Pancasila sebagai Pandangan Hidup, kita melangkah dan melayani bangsa sebagai bentuk nyata Cinta Tanah Air.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
BUMN Untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKYNlUpSzWg/;;Approve Sesper;
309;04 Juni 2025;SEKILAS: Bangkit Bersama Wujudkan Indonesia Kuat;Sekilas;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Layanan ASABRI tak sekadar formalitas,
melainkan bukti pada mereka yang telah berjasa.

Lewat akses yang mendekatkan dan membahagiakan,
ASABRI hadir Wujudkan Indonesia Kuat

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKehDZRSQZd/;;Approve Sesper;
310;05 Juni 2025;Gaji Ketiga Belas Dari Negara Untuk Pensiun Sejahtera;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Gaji Ketiga Belas Pensiun 
bukan sekadar tambahan pendapatan.
Ini adalah bukti kehadiran negara, untuk setiap pengabdian.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKhIdQSSPb0/;;Approve Sesper;
311;05 Juni 2025;Pemberitahuan Layanan Kantor Cabang ASABRI TUTUP, sehubungan dengan Libur Nasional dan Cuti Bersama dalam rangka Hari Raya Idul Adha 1446H;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sehubungan dengan Libur Nasional dan Cuti Bersama dalam rangka Hari Raya Idul Adha 1446H, Layanan Kantor Cabang ASABRI TUTUP pada tanggal 6 dan 9 Juni 2025.

Layanan dan Operasional akan Buka Kembali pada tanggal 10 Juni 2025.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DKhLMRNBUJZ/;;Approve Sesper;
312;06 Juni 2025;Selamat Hari Raya Iduladha;Hari Besar Nasional;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Selamat Hari Raya Iduladha 1446 H.
Semoga semangat kurban menumbuhkan keikhlasan dalam berkarya dan ketulusan untuk melayani negeri.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#HariRayaIduladha1446H
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DKiaAttB7mZ/;;Approve Sesper;
313;16 Juni 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI
Selamat dan Semangat Hari Senin!

Insan ASABRI hadir bukan hanya untuk hari ini, tapi untuk memastikan esok tetap penuh harapan bagi masa depan bangsa.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DK8YtQEC_0v/;;Approve Sesper;
314;19 Juni 2025;ASABRI Raih TOP CSR Awards 2025;TJSL;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

ASABRI kembali menorehkan prestasi atas dedikasi dalam menjalankan Program Tanggung Jawab Sosial dan Lingkungan (TJSL). Inilah cerita di balik penghargaan bergengsi TOP CSR Awards 2025 Kategori #Star 3.

Untuk mengetahui informasi selengkapnya seputar ASABRI, Sobat dapat mengunjungi Website ASABRI di www.asabri.co.id.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#ProgramTJSLASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DLEN8cVSyve/;;Approve Sesper;
315;20 Juni 2025;Melangkah Bersama, Menjaga Harapan, Mewujudkan Kesejahteraan;Campaign ASABRI;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Kami adalah sahabat setia dalam setiap langkah perjuangan Anda.

Dari medan tugas hingga masa purnawira, kami hadir bukan hanya untuk melindungi, tapi untuk memahami.
Kami bangga menjadi bagian dari setiap perjalalanan, perjuangan, dan pengabdian yang tak ternilai.
Mari melangkah bersama, menjaga harapan, dan mewujudkan kesejahteraan nyata bagi para Peserta dan Keluarga.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLHzXEeyxx3/;;Approve Sesper;
316;23 Juni 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI
Selamat dan Semangat Hari Senin!

Menjadi Insan ASABRI adalah sebuah kehormatan. 
Melayani, melindungi, dan membangun masa depan Penjaga Bangsa dan keluarga dengan sepenuh hati.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#asabriuntukindonesia";https://www.instagram.com/p/DLOjFRWyTbH/;;Approve Sesper;
317;26 Juni 2025;"Pemberiatahuan Layanan Kantor Cabang TUTUP sehubungan dengan Libur Nasional Tahun Baru Islam
1 Muharam 1447 Hijriah";Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sehubungan dengan Libur Nasional Tahun Baru Islam 
1 Muharam 1447 Hijriah, Layanan Kantor Cabang ASABRI TUTUP pada tanggal 27 Juni 2025.

Layanan dan Operasional akan Buka Kembali pada tanggal 30 Juni 2025.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DLW-kxMNgVQ/;;Approve Sesper;
318;27 Juni 2025;Selamat Memperingati Tahun Baru Islam;Hari Besar Nasional;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Selamat Tahun Baru Islam 1 Muharram 1447 Hijriah
?
Mari jadikan momen tahun baru ini sebagai awal untuk memperkuat niat, memperbaiki diri, dan meningkatkan semangat pengabdian dalam memberikan layanan terbaik kepada para pejuang negeri.
?
Semoga kita semua senantiasa diberi keberkahan, kesehatan, dan kekuatan dalam setiap langkah menuju kebaikan.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#TahunBaruIslam1447H
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLYbaF7hRSd/;;Approve Sesper;
319;30 Juni 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Mereka berdiri di garis depan, melindungi Negeri tanpa pamrih. Kini saatnya kami hadir sepenuh hati, bukan sekadar melayani, tapi menghadirkan ketulusan dalam setiap langkah.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLg7cK3hdGt/;;Approve Sesper;
320;30 Juni 2025;SPTB Online, Lapor dan update data lebih mudah lewat ASABRI Mobile;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Saat ini, untuk lapor dan update data Peserta Pensiun, #Sobat dapat melakukan secara online melalui ASABRI Mobile.

Lapor SPTB baik melalui online atau fisik, dapat dilakukan (1) satu tahun sekali untuk memastikan Hak Pensiun lancar, aman, dan data termutakhirkan ya #Sobat.

#LayananASABRI
#SemangatMelayanidariASABRIuntukIndonesia
#LaporSPTB
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLgZulOSU_9/;;Approve Sesper;
321;01 Juli 2025;Selamat Hari Bhayangkara ke-79;Hari Penting;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Selamat Hari Bhayangkara ke-79.
Terima kasih atas dedikasi dan pengabdian Polri dalam menjaga negeri.
?
Bersama kita jaga Indonesia, dengan semangat pengabdian dan integritas.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#HariBhayangkara79
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.instagram.com/p/DLi4wWEJRGj/;;Approve Sesper;
322;04 Juli 2025;Lebih Mudah dengan SPTB Online, Bagaimana Caranya?;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Lapor Surat Pernyataan Tanda Bukti Diri (SPTB), dilakukan (1) satu tahun sekali untuk memastikan Hak Pensiun lancar, aman, dan data termutakhirkan ya #Sobat.

Untuk mengetahui ketentuan dan mekanisme untuk Lapor SPTB, #Sobat dapat cek pada postingan berikut ya.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SemangatMelayanidariASABRIuntukIndonesia
#LaporSPTB
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLqyrt4ypTW/;;Approve Sesper;
323;04 Juli 2025;ASABRI Link Lebih dekat Melayani Peserta;ASABRI Link;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sebagai salah satu bentuk Layanan ASABRI Untuk Indonesia, ASABRI telah menghadirkan ASABRI Link lebih dari 1900 titik layanan di Seluruh Indonesia.

Untuk mengetahui lengkapnya tentang ASABRI Link, #Sobat dapat cek pada postingan berikut ya.

ASABRI Link, 
lebih dekat melayani Peserta.

#LayananASABRI
#SemangatMelayanidariASABRIuntukIndonesia
#ASABRILink
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLrnaVlSxuE/;;Approve Sesper;
324;07 Juli 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Infografis;"Halo #Sobat ASABRI
Kami memang bukan yang utama berada di barisan depan untuk melindungi Negeri. Tapi kami bagian dari kisah perjuangan yang melayani dengan ketulusan sepenuh hati dan tak lekang oleh waktu.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DLyUwmmyMaE/;;Approve Sesper;
325;14 Juli 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Infografis;"Halo #Sobat ASABRI

Tim hebat bukan tentang siapa yang paling kuat, tapi bagaimana kita mampu bersatu dan lahir dari kerja sama yang solid.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMEhu09SERA/;;Approve Sesper;
326;15 Juli 2025;Manfaat Pensiun untuk Peserta ASABRI Sejahtera Sepanjang Masa;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Sebagai bukti komitmen menjaga amanah Negara untuk kesejahteraan pejuang bangsa, 
Selama tahun 2024, ASABRI telah melakukan kewajibannya untuk melaksanakan pembayaran manfaat pensiun kepada penerima manfaat pensiun dengan prinsip 5T: Tepat Waktu, Tepat Orang, Tepat Jumlah, Tepat Alamat dan Tertib Administrasi. 

Untuk mengetahui lengkapnya, #Sobat dapat cek pada postingan berikut ya.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#LayananASABRI
#SemangatMelayanidariASABRIuntukIndonesia
#ManfaatProgramPensiun
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMH5Broy6VW/;;Approve Sesper;
327;17 Juli 2025;BERSERI: Apa itu ASABRI STAR;Berseri;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih.. #BertanyaSeputarASABRI ??

Tahukah kamu, apa itu ASABRI STAR?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI www.asabri.co.id atau Kantor Cabang ASABRI atau ASABRIlink sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#AplikasiASABRISTAR
#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMMi9apSyic/;;Approve Sesper;
328;21 Juli 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Infografis;"Halo #Sobat ASABRI

Digitalisasi bukan sekadar inovasi, tapi komitmen kami untuk memberikan layanan terbaik. ASABRI hadir sepenuh hati dalam setiap langkah untuk Indonesia.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMWbFnaS8Sd/;;Approve Sesper;
329;23 Juli 2025;Hidup Lebih Sehat, Sejahtera & Bahagia bersama ASABRI;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

ASABRI menjawab kebutuhan peserta dengan layanan sepenuh hati. Program Manfaat Tambahan diimplementasikan sebagai wujud kepedulian yang lebih dekat, menyeluruh, dan berdampak nyata untuk kesejahteraan peserta dan keluarganya.

Dengan semangat “Sahabat Perjuangan Anda Sepanjang Masa”, ASABRI tidak hanya hadir dalam masa dinas, tetapi juga menyiapkan landasan kuat untuk hidup yang berkualitas, bahagia, dan bermakna setelah purna tugas.

Apa saja program manfaat tambahan ASABRI? Yuk #SobatASABRI cek infografis berikut!

#ManfaatTambahanASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMbyVBGSizU/;;Approve Sesper;
330;23 Juli 2025;Selamat Hari Anak Nasional;Hari Penting;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Setiap anak adalah cahaya harapan.
Dengan mimpi besar dan semangat yang menyala,
mereka adalah calon pemimpin Indonesia Emas 2045.

???? Di Hari Anak Nasional, mari kita rayakan keberanian mereka untuk bermimpi,
dan tugas kita bersama untuk memastikan mereka bisa mencapainya.

Karena Anak Hebat, adalah Kunci Indonesia Kuat, menuju Indonesia Emas 2045.

#HariAnakNasional
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMcXE2ISnp5/;;Approve Sesper;
331;28 Juli 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Instagram;Infografis;"Halo #Sobat ASABRI

Di balik setiap penjaga bangsa, ada keluarga yang menanti. ASABRI hadir bukan hanya untuk melindungi mereka yang mengabdi, tapi juga menjaga senyum keluarga di rumah.

Semangat Senin, Insan ASABRI!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMocjNrSxfe/;;Approve Sesper;
332;29 Juli 2025;ASABRI Hadirkan Fasilitas Rawat Inap Baru di Lanal Palu;TJSL;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

ASABRI melalui Kantor Cabang ASABRI Palu meresmikan fasilitas rawat inap baru di Balai Kesehatan Lanal Palu. Fasilitas ini sebagai bagian dari program peningkatan layanan kesehatan untuk prajurit TNI Angkatan Laut dan keluarganya yang termasuk sebagai Peserta ASABRI, serta masyarakat umum di wilayah tersebut. 

Ini merupakan Wujud Nyata BUMN bergerak berdampak, perkuat layanan kesehatan prajurit dan masyarakat sebagai kontribusi terhadap SDGs dan ekosistem pertahanan nasional.

Untuk informasi selengkapnya, Silakan #SobatASABRI cek infografis berikut ini.

#ProgramTJSLASABRI
#FasilitasKesehatanUntukRakyat
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.instagram.com/p/DMrzIRkyAdC/;;Approve Sesper;
333;01 Agustus 2025;Hari Ulang Tahun PT ASABRI (Persero);Hari Penting;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

1 Agustus 1971 – 1 Agustus 2025
ASABRI telah membersamai perjalanan Anda selama 54 tahun.

Kami terus melaju, memberikan kontribusi bermakna untuk masa kini dan masa depan.
Dari medan tugas hingga masa pensiun, kami hadir sebagai pelindung bagi para pelindung negeri.

ASABRI
Melayani Bangsa - Mewujudkan Kesejahteraan

#HUTke54ASABRI
#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#ASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa";https://www.instagram.com/p/DMyftrpyQUv/;;Approve Sesper;
334;01 Agustus 2025;"Manajemen PT ASABRI (Persero) mengucapkan
Dirgahayu ke 54 Tahun
PT ASABRI (Persero)";Hari Penting;;;Realisasi;Instagram;Video;"Halo #SobatASABRI

Manajemen PT ASABRI (Persero) mengucapkan
Dirgahayu ke 54 Tahun
PT ASABRI (Persero)
1 Agustus 1971 - 1 Agustus 2025

ASABRI
Melayani Bangsa - Mewujudkan Kesejahteraan

#HUTke54ASABRI
#ASABRIMelayaniBangsa
#ASABRIMewujudkanKesejahteraan
#ASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa";https://www.instagram.com/p/DMyqGcG10-s/;;Approve Sesper;
