NO,TANGGAL,JUDUL KONTEN,JENIS KONTEN,KATEGORI DALAM AGSET BUMN,JENIS MEDIA PLAN,AKTUALISASI,MEDIA,Jenis Konten,HIGHLIGHT/CAPTIONS,LINK,CREATOR,PROCESS,KETERANGAN/JENIS KONTEN
,15 Juli 2024,Selamat dan Semangat Hari Senin,Senin Semangat,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Pagi yang baik tidak datang dengan sendirinya, mulailah dengan doa, semangat, dan senyuman ya Sobat untuk terus menjadi Insan yang Berkualitas dan Hebat..

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9bNCHxS6qw/,,,
,16 Juli 2024,Kini ASABRI Link hadir di wilayah Papua Barat dan Papua Barat Daya loh..,ASABRI Link,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Kini ASABRI Link hadir di wilayah Papua Barat dan Papua Barat Daya loh..

Bagi #SobatASABRI yang berdomisili di wilayah Papua Barat dan Papua Barat Daya, Sobat dapat mengunjungi Kantor Cabang ASABRI Sorong dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Sorong, Sobat bisa mengunjungi @asabri_kcsorong ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9eqpA7SeTO/,,,
,18 Juli 2024,BERSERI: hak apa saja yang dapat diajukan apabila Peserta Aktif ASABRI mengalami Pemberhentian Tidak Dengan Hormat (PTDH) ?,Berseri,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih.. #BertanyaSeputarASABRI 😊

Tahukah kamu hak apa saja yang dapat diajukan apabila Peserta Aktif ASABRI mengalami Pemberhentian Tidak Dengan Hormat (PTDH) ?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau Kantor Cabang ASABRI atau ASABRIlink sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#ManfaatProgramASABRI
#LayananASABRI
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9i7vQOStfn/,,,
,19 Juli 2024,"Direktur Utama PT ASABRI (Persero), Wahyu Suparyono dan Direktur Investasi PT ASABRI (Persero) Jeffry Haryadi P. Manullang, didampingi Sekretaris Perusahaan, Okki Jatnika dan Kepala Kantor Cabang Jakarta, Aris Karyawan, berkesempatan menyerahkan manfaat Program Tabungan Hari Tua (THT) dan Jaminan Pensiun kepada Letjen TNI (Purn) Dr. Budi Prijono, S.T., M.M., C.FR.A., GRCE., CGCAE",Cerita,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI

Yuk kita simak CERITA kali ini.. #CuplikanBeritadanTestimoniPeserta 😊

Direktur Utama PT ASABRI (Persero), Wahyu Suparyono dan Direktur Investasi PT ASABRI (Persero) Jeffry Haryadi P. Manullang, didampingi Sekretaris Perusahaan, Okki Jatnika dan Kepala Kantor Cabang Jakarta, Aris Karyawan, berkesempatan menyerahkan manfaat Program Tabungan Hari Tua (THT) dan Jaminan Pensiun kepada Letjen TNI (Purn) Dr. Budi Prijono, S.T., M.M., C.FR.A., GRCE., CGCAE

Untuk lengkapnya, #SobatASABRI bisa simak CERITA yang tersedia pada postingan ini ya.

Nantikan dan sampai jumpa di CERITA kita selanjutnya ya 😊

#LayananASABRI #ManfaatASABRI #KitaBerkualitasKitaHebat #ASABRIuntukIndonesia #BUMNUntukIndonesia",https://www.instagram.com/p/C9ldYAiSiYS/,,,
,19 Juli 2024,Siapkan diri kamu untuk mendaftar pada rekrutmen PT ASABRI (Persero).,Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Are you ready to make an impact and be a part of the best workplace environment?

We are looking for motivated individuals, who are eager to learn and grow with us. Join our team and unleash your potential!

Siapkan diri kamu untuk mendaftar pada rekrutmen PT ASABRI (Persero). 

Periode Pendaftaran dibuka mulai tanggal 19-22 Juli 2024 melalui https://rekrutmen.asabri.co.id

Pastikan untuk Cek Kualifikasi dan Persyaratannya di https://rekrutmen.asabri.co.id 

Waspada Penipuan yang mengatasnamakan Rekrutmen PT ASABRI (Persero). Kamu hanya dapat mendaftar melalui website resmi rekrutmen ASABRI di https://rekrutmen.asabri.co.id 

Keputusan Panitia Rekrutmen bersifat mutlak dan tidak dapat diganggu gugat. Pastikan pengumuman disampaikan melalui email Perusahaan dengan domain @asabri.co.id.

Untuk mengetahui informasi yang kamu terima valid atau tidak, pastikan kamu melakukan konfirmasi ke email rekrutmen@asabri.co.id

Let's prepare yourself and show that you are the perfect fit to join our team and become #InsanASABRI!

#LoKerBUMN2024
#BUMNUntukIndonesia
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia",https://www.instagram.com/p/C9mzmJrST9P/,,,
,20 Juli 2024,AKHLAK in Kaleidoscope: 4 Years of Solid Transformation,Campaign Bersama BUMN,,,Realisasi,Instagram,Video,"Halo #SobatASABRI dan #InsanBUMN

Sebagai perekat budaya kerja di BUMN, kehadiran core values AKHLAK pada tahun 2020 menjadi titik awal bagi PT ASABRI (Persero) dan seluruh BUMN untuk sama-sama belajar, bertumbuh, dan berkontribusi untuk Indonesia.

Bentuk implementasi 4 Tahun AKHLAK di PT ASABRI (Persero), telah kami jalankan secara konsisten dalam setiap gerak demi mewujudkan Insan yang Berkualitas dan Hebat

AKHLAK in Kaleidoscope: 4 Years of Solid Transformation, Bersama AKHLAK wujudkan ASABRI yang Berkualitas dan Hebat!

@kementerianbumn
@fhci.bumn 

#Refleksi4thAKHLAK
#FHCIBUMN
#KementerianBUMN
#KitaBerkualitasKitaHebat
#ASABRIUntukIndonesia
#BUMNUntukIndonesia",https://www.instagram.com/p/C9pZQ2SS3oQ/,,,
,22 Juli 2024,Selamat dan Semangat Hari Senin.,Senin Semangat,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Selamat dan Semangat Hari Senin.

Yuk kita kita mulai hari dengan senyuman dan semangat. Semoga hari ini penuh dengan keberhasilan dan kebahagiaan ya Sobat.

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9tU6n9yRAG/,,,
,22 Juli 2024,Hari terakhir jelang Penutupan Pendaftaran Rekrutmen PT ASABRI (Persero)! Pendaftaran akan ditutup 22 Juli 2024.,Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Hari terakhir jelang Penutupan Pendaftaran Rekrutmen PT ASABRI (Persero)! Pendaftaran akan ditutup 22 Juli 2024.

Pastikan untuk Cek Kualifikasi dan Persyaratannya di https://rekrutmen.asabri.co.id

Waspada Penipuan yang mengatasnamakan Rekrutmen PT ASABRI (Persero). Kamu hanya dapat mendaftar melalui website resmi rekrutmen ASABRI di https://rekrutmen.asabri.co.id

Keputusan Panitia Rekrutmen bersifat mutlak dan tidak dapat diganggu gugat. Pastikan pengumuman disampaikan melalui email Perusahaan dengan domain @asabri.co.id.

Untuk mengetahui informasi yang kamu terima valid atau tidak, pastikan kamu melakukan konfirmasi ke email rekrutmen@asabri.co.id

Let’s prepare yourself and show that you are the perfect fit to join our team and become #InsanASABRI!

#LoKerBUMN2024
#BUMNUntukIndonesia
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia",https://www.instagram.com/p/C9t8RBuyLxG/,,,
,23 Juli 2024,"Pendaftaran Rekrutmen PT ASABRI (Persero), Resmi DITUTUP❗️",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Pendaftaran Rekrutmen PT ASABRI (Persero), Resmi DITUTUP❗️

Terima kasih atas antusiasme dan partisipasi pada Rekrutmen PT ASABRI (Persero).

Waspada Penipuan yang mengatasnamakan Rekrutmen PT ASABRI (Persero). Kamu hanya dapat mendaftar melalui website resmi rekrutmen ASABRI di https://rekrutmen.asabri.co.id

Keputusan Panitia Rekrutmen bersifat mutlak dan tidak dapat diganggu gugat. Pastikan pengumuman disampaikan melalui email Perusahaan dengan domain @asabri.co.id.

Untuk mengetahui informasi yang kamu terima valid atau tidak, pastikan kamu melakukan konfirmasi ke email rekrutmen@asabri.co.id

Let’s prepare yourself and show that you are the perfect fit to join our team and become #InsanASABRI!

#LoKerBUMN2024
#BUMNUntukIndonesia
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia",https://www.instagram.com/p/C9vwXvgSm6E/,,,
,23 Juli 2024,Kini ASABRI Link hadir di wilayah Sumatera Barat loh..,ASABRI Link,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Kini ASABRI Link hadir di wilayah Sumatera Barat loh..

Bagi #SobatASABRI yang berdomisili di wilayah Sumatera Barat, Sobat dapat mengunjungi Kantor Cabang ASABRI Padang dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Padang, Sobat bisa mengunjungi @asabri_kcpadang ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9wUW6ASyfo/,,,
,23 Juli 2024,Selamat Hari Anak Nasional 2024! 🎉,Hari Besar Nasional,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI 

Selamat Hari Anak Nasional 2024! 🎉

Anak-anak adalah bintang masa depan, bersinar terang dengan mimpi dan harapan. Mari kita berikan mereka dunia yang penuh kasih sayang. Bersama-sama, kita bisa mewujudkan impian mereka menjadi nyata! 🌟

#HariAnakNasional 
#AnakIndonesia 
#GenerasiCemerlang 
#MasaDepanGemilang 
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia",https://www.instagram.com/p/C9wYusiS1WR/,,,
,24 Juli 2024,"Dalam rangka Hari Anak Nasional 2024 yang bertemakan Anak Terlindungi Indonesia Maju, ASABRI berkontribusi dalam Program Bapak Asuh Anak Stunting di Kota Serang.",TJSL,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI

Dalam rangka Hari Anak Nasional 2024 yang bertemakan Anak Terlindungi Indonesia Maju, ASABRI berkontribusi dalam Program Bapak Asuh Anak Stunting di Kota Serang. Pengukuhan ini dilakukan langsung oleh Kepala Perwakilan BKKBN Provinsi Banten Ir. Rusman Effendi kepada Sekretaris Perusahaan PT ASABRI (Persero) Okki Jatnika dan dihadiri oleh Pj. Walikota Serang Bapak Yeddi Rahmat.

Untuk lengkapnya, #SobatASABRI bisa simak informasi pada postingan ini ya Sobat.

#ProgramTJSLASABRI
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9zlV3TScoO/,,,
,25 Juli 2024,"BERSERI: Hak yang dapat diajukan apabila Istri/Suami atau Anak dari Peserta ASABRI meninggal dunia?
",Berseri,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih.. #BertanyaSeputarASABRI 😊

Tahukah kamu apa saja Hak yang dapat diajukan apabila Istri/Suami atau Anak dari Peserta ASABRI meninggal dunia?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau Kantor Cabang ASABRI atau ASABRIlink sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#ManfaatProgramASABRI
#LayananASABRI
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C906RBgy2X4/,,,
,29 Juli 2024,Selamat dan Semangat Hari Senin,Senin Semangat,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Awali hari dengan hati yang riang
Melakukan pekerjaan dengan hati yang tenang
Agar dikemudian hari, hati kita selalu senang

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-AO3mzSkjH/,,,
,29 Juli 2024,ASABRI melaksanakan Townhall Meeting peringatan 4 Tahun AKHLAK yang dihadiri oleh seluruh Direksi ASABRI.,Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI dan #InsanBUMN

ASABRI melaksanakan Townhall Meeting peringatan 4 Tahun AKHLAK yang dihadiri oleh seluruh Direksi ASABRI.

Kegiatan ini dilakukan bertujuan untuk mengimplementasikan penerapan AKHLAK secara menyeluruh sehingga mampu membawa kinerja yang maksimal dan berkelanjutan.

Bersama
belajar, bertumbuh, berkontribusi #untukIndonesia

Untuk lengkapnya, #SobatASABRI bisa simak informasi yang tersedia pada postingan ini ya.

#Refleksi4TahunAKHLAK
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C9_g5DsSvT4/,,,
,30 Juli 2024,Kini ASABRI Link hadir di wilayah Kepulauan Riau loh..,ASABRI Link,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Kini ASABRI Link hadir di wilayah Kepulauan Riau loh..

Bagi #SobatASABRI yang berdomisili di wilayah Kepulauan Riau, Sobat dapat mengunjungi Kantor Cabang ASABRI Batam dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Batam, Sobat bisa mengunjungi @asabri_kcbatam ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-B2tKfSkxk/,,,
,01 Agustus 2024,"Selama 53 tahun, ASABRI telah melangkah dengan kekuatan dan tekad yang kuat. Kini, dalam semangat ""Forward Together,"" kita bersatu untuk menaklukkan tantangan baru dan meraih puncak yang lebih tinggi.",Campaign ASABRI,,,Realisasi,Instagram,Video,"Halo #SobatASABRI dan #InsanASABRI

Ini adalah langkah baru kita bersama.

Selama 53 tahun, ASABRI telah melangkah dengan kekuatan dan tekad yang kuat. Kini, dalam semangat ""Forward Together,"" kita bersatu untuk menaklukkan tantangan baru dan meraih puncak yang lebih tinggi. 
Bersama, kita bukan hanya merayakan masa lalu, tetapi membangun masa depan yang lebih gemilang dan penuh harapan!

Dirgahayu PT ASABRI (Persero)
1 Agustus 1971 - 1 Agustus 2024
""Forward Together""

#HUTke53ASABRI
#ForwardTogether #MajuBersama
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-GFrtNyuw1/,,,
,01 Agustus 2024,"Dalam rangka Hari Ulang Tahun (HUT) ke-53 yang jatuh pada 1 Agustus 2024, PT ASABRI (Persero) mengadakan kompetisi karya tulis ""ASABRI Literasi (ASLI)"" dengan tema ""Pengentasan Kemiskinan Ekstrem dan Pencegahan Stunting"".",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI #InsanBUMN

Dalam rangka Hari Ulang Tahun (HUT) ke-53 yang jatuh pada 1 Agustus 2024, PT ASABRI (Persero) mengadakan kompetisi karya tulis ""ASABRI Literasi (ASLI)"" dengan tema ""Pengentasan Kemiskinan Ekstrem dan Pencegahan Stunting"".

Kompetisi yang diusung dengan slogan Budaya Literasi Cerdaskan Generasi ini diperuntukkan bagi Putra/Putri Keluarga Inti dari Peserta ASABRI (TNI, Polri, ASN Kemhan, ASN Polri) aktif dan pensiun, dengan kategori pelajar di tingkat SMA/sederajat dan Mahasiswa Perguruan Tinggi.

Yukkk Sobat ASABRI, buruan daftar kompetisinya dan menangkan hadiah total senilai puluhan juta. Ssstt, dapat free workshop juga, loh!😉

Simak syarat dan ketentuan lengkapnya pada infografis berikut ya, Sobat.

Jangan lupa, share informasi ini ke lingkungan kamu yaa !🤗🙏🏻

#HUTKe53ASABRI
#ForwardTogether
#MajuBersama
#BaktiASABRIuntukPeserta
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-HXyP7S00t/,,,
,05 Agustus 2024,Sudahkan Sobat melakukan Autentikasi di ASABRI STAR?,Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI

Sudahkan Sobat melakukan Autentikasi di ASABRI STAR?

Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi digital di ASABRI STAR mulai tanggal 1 sampai dengan tanggal 10 setiap bulannya agar Gaji Pensiun dapat masuk ke rekening.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut, silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar ASABRI atau menghubungi Call Center 1500043 dan media sosial ASABRI.

#DenganASABRISTARGajiPensiunAman
#ForwardTogether #MajuBersama
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-RGXLXyFdj/,,,
,06 Agustus 2024,"Kini ASABRI Link hadir di wilayah Aceh loh..
",ASABRI Link,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Kini ASABRI Link hadir di wilayah Aceh loh..

Bagi #SobatASABRI yang berdomisili di wilayah Aceh, Sobat dapat mengunjungi Kantor Cabang ASABRI Banda Aceh dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Banda Aceh, Sobat bisa mengunjungi @asabri_kcbandaaceh ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-TzxQ1y1o7/,,,
,06 Agustus 2024,"Kesempatan Masih Dibuka!!

Dalam rangka Hari Ulang Tahun (HUT) ke-53, PT ASABRI (Persero) mengadakan kompetisi karya tulis ""ASABRI Literasi (ASLI)"" dengan tema ""Pengentasan Kemiskinan Ekstrem dan Pencegahan Stunting"".
",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI #InsanBUMN

Kesempatan Masih Dibuka!!

Dalam rangka Hari Ulang Tahun (HUT) ke-53, PT ASABRI (Persero) mengadakan kompetisi karya tulis ""ASABRI Literasi (ASLI)"" dengan tema ""Pengentasan Kemiskinan Ekstrem dan Pencegahan Stunting"".

Kompetisi yang diusung dengan slogan Budaya Literasi Cerdaskan Generasi ini diperuntukkan bagi Putra/Putri Keluarga Inti dari Peserta ASABRI (TNI, Polri, ASN Kemhan, ASN Polri) aktif dan pensiun, dengan kategori pelajar di tingkat SMA/sederajat dan Mahasiswa Perguruan Tinggi.

Yukkk Sobat ASABRI, buruan daftar kompetisinya dan menangkan hadiah total senilai puluhan juta. Ssstt, dapat free workshop juga, loh!😉

Simak syarat dan ketentuan lengkapnya pada infografis berikut ya, Sobat.

Jangan lupa, share informasi ini ke lingkungan kamu yaa !🤗🙏🏻

#HUTKe53ASABRI
#ForwardTogether
#MajuBersama
#BaktiASABRIuntukPeserta
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-VBXhZyyGE/,,,
,07 Agustus 2024,"Dalam rangka HUT ASABRI ke 53, ASABRI Makassar melaksanakan bakti sosial membantu membersihkan lingkungan tempat tinggal pensiunan dan pemberian sembako bagi para penerima pensiun ASABRI di Asrama Ratatama kompleks Purnawirawan TNI AD Makassar",Campaign ASABRI,,,Realisasi,Instagram,Video,"Dalam rangka HUT ASABRI ke 53, ASABRI Makassar melaksanakan bakti sosial membantu membersihkan lingkungan tempat tinggal pensiunan dan pemberian sembako bagi para penerima pensiun ASABRI di Asrama Ratatama kompleks Purnawirawan TNI AD Makassar
#BaktiSosialASABRI
#LayananLKPP
#LKPPasabri
#HUTke53ASABRI
#ForwardTogether 
#MajuBersama
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesias",https://www.instagram.com/p/C-WfAOtyjEO/,,,
,08 Agustus 2024,BERSERI:  Bagaimana Mekanisme Pelaporan Kecelakaan Kerja?,Berseri,,,Realisasi,Instagram,Video,"Sekarang memasuki waktunya BERSERI nih.. #BertanyaSeputarASABRI 😊

Tahukah kamu Bagaimana Mekanisme Pelaporan Kecelakaan Kerja?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI www.asabri.co.id atau Kantor Cabang ASABRI atau ASABRIlink sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#ManfaatProgramASABRI
#LayananASABRI
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-ZiGv-y_Rc/,,,
,08 Agustus 2024,"Pendaftaran ASABRI Literasi Diperpanjang loh !!

Dalam rangka Hari Ulang Tahun (HUT) ke-53, PT ASABRI (Persero) mengadakan kompetisi karya tulis ""ASABRI Literasi (ASLI)"" dengan tema ""Pengentasan Kemiskinan Ekstrem dan Pencegahan Stunting"".
",Campaign ASABRI,,,Realisasi,Instagram,Infografis,"Halo #SobatASABRI #InsanBUMN

Pendaftaran ASABRI Literasi Diperpanjang loh !!

Dalam rangka Hari Ulang Tahun (HUT) ke-53, PT ASABRI (Persero) mengadakan kompetisi karya tulis ""ASABRI Literasi (ASLI)"" dengan tema ""Pengentasan Kemiskinan Ekstrem dan Pencegahan Stunting"".

Kompetisi yang diusung dengan slogan Budaya Literasi Cerdaskan Generasi ini diperuntukkan bagi Putra/Putri Keluarga Inti dari Peserta ASABRI (TNI, Polri, ASN Kemhan, ASN Polri) aktif dan pensiun, dengan kategori pelajar di tingkat SMA/sederajat dan Mahasiswa Perguruan Tinggi.

Yukkk Sobat ASABRI, buruan daftar kompetisinya dan menangkan hadiah total senilai puluhan juta. Ssstt, dapat free workshop juga, loh!😉

Simak syarat dan ketentuan lengkapnya pada infografis berikut ya, Sobat.

Jangan lupa, share informasi ini ke lingkungan kamu yaa !🤗🙏🏻

#HUTKe53ASABRI
#ForwardTogether
#MajuBersama
#BaktiASABRIuntukPeserta
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-Z5MQASa-K,,,
,12 Agustus 2024,"
Semangat Hari Senin
",Senin Semangat,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Semangat Hari Senin

Awali hari ini dengan berdoa.
Hadapi masa depan dengan senyuman.
Jangan lupa selalu jaga kesehatan

#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-jT06CSHKD/,,,
,12 Agustus 2024,ASABRI Makassar bersama UPT Tranfusi Darah Dinas Kesehatan Sulawesi Selatan menyelenggarakan kegiatan donor darah sukarela,Campaign ASABRI,,,Realisasi,Instagram,Video,"Setetes darah sangat berarti bagi mereka yang membutuhkan 🩸
ASABRI Makassar bersama UPT Tranfusi Darah Dinas Kesehatan Sulawesi Selatan menyelenggarakan kegiatan donor darah sukarela dalam rangka rangkaian Aksi Sosial ASABRI Untuk Indonesia pada HUT ASABRI ke-53 dengan mengundang Mitra Bayar dan para karyawan ASABRI Makassar untuk berpartisipasi dalam kegiatan ini
#HUTke53ASABRI
#ForwardTogether
#MajuBersama
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-kzqAhSoJZ/,,,
,13 Agustus 2024,ASABRI telah menghadirkan ASABRI Link di wilayah Sumatera Utara loh..,ASABRI Link,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Sebagai salah satu bentuk Layanan ASABRI Untuk Indonesia, ASABRI telah menghadirkan ASABRI Link di wilayah Sumatera Utara loh..

Bagi #SobatASABRI yang berdomisili di wilayah Sumatera Utara, Sobat dapat mengunjungi Kantor Cabang ASABRI Medan dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Medan, Sobat bisa mengunjungi @asabri_kcmedan ya.

ASABRI Link, lebih dekat melayani Peserta.

#LayananASABRI
#ASABRILink
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-l0SF5yeq_/,,,
,15 Agustus 2024,BERSERI: apa saja Hak yang dapat diajukan oleh Ahli Waris apabila penerima pensiun Warakawuri/Janda/Duda meninggal dunia?,Berseri,,,Realisasi,Instagram,Video,"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih.. #BertanyaSeputarASABRI 😊

Tahukah kamu apa saja Hak yang dapat diajukan oleh Ahli Waris apabila penerima pensiun Warakawuri/Janda/Duda meninggal dunia?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau Kantor Cabang ASABRI atau ASABRIlink sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#ManfaatProgramASABRI
#LayananASABRI
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-r4h8iSPJ1/,,,
,15 Agustus 2024,"SEGERA HADIR...
Sebuah program inovatif yang akan menghadirkan kesempatan baru dan pengalaman luar biasa untuk Insan ASABRI di Kantor Pusat dan Kantor Cabang yang dapat mewujudkan Insan ASABRI semakin Berkualitas dan Hebat.",Campaign ASABRI,,,Realisasi,Instagram,Video,"Halo #InsanASABRI

Dalam rangka 53 Tahun ASABRI: Forward, Together, akan ada Program kejutan menarik untuk Insan ASABRI nih 🤩🤩

SEGERA HADIR...
Sebuah program inovatif yang akan menghadirkan kesempatan baru dan pengalaman luar biasa untuk Insan ASABRI di Kantor Pusat dan Kantor Cabang yang dapat mewujudkan Insan ASABRI semakin Berkualitas dan Hebat.

_STAY TUNED_ dan Nantikan Informasi Lebih Lanjut...
 
Pssttt....kira-kira ada Insan ASABRI yang bisa nebak gak ya akan ada Program seru apa ? Yuk comment di kolom komentar yaa

#HUTKe53ASABRI
#ForwardTogether
#MajuBersama
#KitaBerkualitasKitaHebat
#ASABRIuntukIndonesia
#BUMNuntukIndonesia",https://www.instagram.com/p/C-rhz97yW3M/,,,
